CODE,TYPE,EXERCISE,EXPIRY,RATIO,EX STYLE,ISSUER,REGISTRY,LISTED,ISSUED (M),NOTES
CSLSWA,Self Funding Instalments,68.7467,30/06/2022,1.0,American,WESTPAC,COR,08/06/2017,10,
CSLSWR,Self Funding Instalments,54.9367,30/06/2020,1.0,American,WESTPAC,COR,24/04/2015,10,
CSRIOM,Instalment Regular Rolling,2.50,18/05/2018,1.0,American,CITIWARRANTS,COR,27/05/2010,10,
CSRIOV,Instalment Regular Rolling,1.75,15/12/2017,1.0,American,CITIWARRANTS,COR,18/12/2013,10,
CSRKOB,MINI Call,3.9298,31/12/2029,1.0,American,CITIWARRANTS,COR,29/06/2017,3.07,
CSRKOC,MINI Call,3.4263,31/12/2029,1.0,American,CITIWARRANTS,COR,23/09/2016,3.07,
CSRKOP,MINI Put,5.6953,31/12/2029,1.0,American,CITIWARRANTS,COR,29/04/2014,3.19,
CSRKOQ,MINI Put,6.5441,31/12/2029,1.0,American,CITIWARRANTS,COR,26/11/2014,3.19,
CTDKOB,MINI Call,14.6308,31/12/2029,1.0,American,CITIWARRANTS,COR,21/10/2016,0.247,
CTDKOC,MINI Call,11.3338,31/12/2029,1.0,American,CITIWARRANTS,COR,11/02/2016,0.247,
CTDKOD,MINI Call,16.065,31/12/2029,1.0,American,CITIWARRANTS,COR,29/06/2017,0.247,
CTDKOE,MINI Call,9.8955,31/12/2029,1.0,American,CITIWARRANTS,COR,14/07/2015,0.247,
CTDKOF,MINI Call,8.1397,31/12/2029,1.0,American,CITIWARRANTS,COR,14/07/2015,0.247,
CTDKOP,MINI Put,32.1967,31/12/2029,1.0,American,CITIWARRANTS,COR,29/06/2017,0.247,
CTDKOQ,MINI Put,29.3163,31/12/2029,1.0,American,CITIWARRANTS,COR,29/06/2017,0.247,
CTXBOK,Bonus Certificate,0.00,25/05/2018,1.0,American,CITIWARRANTS,COR,19/04/2017,10,
CTXBON,Bonus Certificate,0.00,25/10/2018,1.0,American,CITIWARRANTS,COR,27/04/2017,10,
CTXJOA,Instalment MINI,22.9621,18/11/2021,1.0,American,CITIWARRANTS,COR,21/02/2017,10,
CTXJOB,Instalment MINI,17.7434,18/11/2021,1.0,American,CITIWARRANTS,COR,21/02/2017,10,
CTXKOA,MINI Call,28.4772,31/12/2029,1.0,American,CITIWARRANTS,COR,21/04/2017,0.59,
CTXKOB,MINI Call,24.7871,31/12/2029,1.0,American,CITIWARRANTS,COR,08/12/2016,0.59,
CTXKOC,MINI Call,21.8973,31/12/2029,1.0,American,CITIWARRANTS,COR,20/05/2016,0.59,
CTXKOP,MINI Put,45.8154,31/12/2029,1.0,American,CITIWARRANTS,COR,24/02/2017,0.59,
CTXKOQ,MINI Put,42.7043,31/12/2029,1.0,American,CITIWARRANTS,COR,25/05/2017,0.59,
CTXKOZ,MINI Put,37.9863,31/12/2029,1.0,American,CITIWARRANTS,COR,04/11/2014,0.59,
CTXSOP,Self Funding Instalments,17.00,17/06/2022,1.0,American,CITIWARRANTS,COR,26/10/2017,10,
CWNBOE,Bonus Certificate,0.00,22/11/2017,1.0,American,CITIWARRANTS,COR,06/09/2016,10,
CWNBOI,Bonus Certificate,0.00,25/05/2018,1.0,American,CITIWARRANTS,COR,02/02/2017,10,
CWNBON,Bonus Certificate,0.00,25/10/2018,1.0,American,CITIWARRANTS,COR,27/04/2017,10,
CWNBOQ,Bonus Certificate,0.00,27/09/2018,1.0,American,CITIWARRANTS,COR,11/08/2017,10,
CWNBOR,Bonus Certificate,0.00,13/12/2018,1.0,American,CITIWARRANTS,COR,11/08/2017,10,
CWNIOA,Instalment Regular Rolling,6.50,19/10/2018,1.0,American,CITIWARRANTS,COR,22/10/2015,10,
CWNIOV,Instalment High Geared Rolling,5.6603,15/12/2017,1.0,American,CITIWARRANTS,COR,18/12/2013,10,
CWNIOZ,Instalment Regular Rolling,9.1603,15/12/2017,1.0,American,CITIWARRANTS,COR,18/12/2013,10,
CWNISI,Instalment Regular Normal,7.27,08/06/2018,1.0,American,UBS,COR,20/10/2014,10,
CWNISK,Instalment Regular Normal,6.2037,08/06/2018,1.0,American,UBS,COR,31/05/2016,10,
CWNJOG,Instalment MINI,5.8851,14/04/2020,1.0,American,CITIWARRANTS,COR,21/12/2015,10,
CWNJOP,Instalment MINI,8.3468,30/05/2019,1.0,American,CITIWARRANTS,COR,12/09/2014,10,
CWNJOZ,Instalment MINI,4.9079,18/11/2021,1.0,American,CITIWARRANTS,COR,25/11/2016,10,
CWNKOA,MINI Call,6.4152,31/12/2029,1.0,American,CITIWARRANTS,COR,11/02/2016,1.61,
CWNKOF,MINI Call,8.921,31/12/2029,1.0,American,CITIWARRANTS,COR,28/08/2015,1.61,
CWNKOP,MINI Put,13.0928,31/12/2029,1.0,American,CITIWARRANTS,COR,21/04/2017,1.61,
CWNKOR,MINI Put,15.6986,31/12/2029,1.0,American,CITIWARRANTS,COR,08/12/2016,1.61,
CWNKOS,MINI Put,14.7201,31/12/2029,1.0,American,CITIWARRANTS,COR,25/05/2017,1.61,
CWNSMB,Self Funding Instalments,4.4296,29/06/2018,1.0,American,MACQUARIE,COR,07/02/2008,10,
CWNSO1,Barrier SFI,6.5969,06/12/2019,1.0,American,CITIWARRANTS,COR,09/12/2014,10,
CWNSO2,Barrier SFI,4.3461,18/11/2021,1.0,American,CITIWARRANTS,COR,25/11/2016,10,
CWNSOM,Self Funding Instalments,5.472,18/06/2021,1.0,American,CITIWARRANTS,COR,23/06/2016,10,
CWNSON,Self Funding Instalments,8.4036,13/12/2019,1.0,American,CITIWARRANTS,COR,06/06/2017,10,
CWNSSA,Self Funding Instalments,7.4872,08/06/2018,1.0,American,UBS,COR,20/10/2014,10,
CWNSSE,Self Funding Instalments,6.122,08/06/2018,1.0,American,UBS,COR,31/05/2016,10,
CWNSSY,Self Funding Instalments,12.90,02/05/2018,1.0,American,UBS,COR,04/05/2017,10,
CWNSWR,Self Funding Instalments,5.7007,30/06/2020,1.0,American,WESTPAC,COR,24/04/2015,10,
CWNSWT,Self Funding Instalments,4.3905,30/06/2020,1.0,American,WESTPAC,COR,27/11/2015,10,
CWYKOA,MINI Call,1.137,31/12/2029,1.0,American,CITIWARRANTS,COR,29/06/2017,4.11,
CWYKOB,MINI Call,1.048,31/12/2029,1.0,American,CITIWARRANTS,COR,15/01/2015,8.87,
CWYKOC,MINI Call,0.4635,31/12/2029,1.0,American,CITIWARRANTS,COR,03/03/2015,8.87,
CWYKOP,MINI Put,1.8407,31/12/2029,1.0,American,CITIWARRANTS,COR,15/01/2015,8.87,
CWYKOQ,MINI Put,1.9732,31/12/2029,1.0,American,CITIWARRANTS,COR,15/01/2015,8.87,
CYBKOA,MINI Call,4.7382,31/12/2029,1.0,American,CITIWARRANTS,COR,11/02/2016,9.57,
CYBKOB,MINI Call,3.957,31/12/2029,1.0,American,CITIWARRANTS,COR,11/02/2016,9.57,
CYBKOD,MINI Call,4.1489,31/12/2029,1.0,American,CITIWARRANTS,COR,12/09/2017,2.93,
CYBKOE,MINI Call,3.7353,31/12/2029,1.0,American,CITIWARRANTS,COR,21/10/2016,3.89,
CYBKOP,MINI Put,6.27,31/12/2029,1.0,American,CITIWARRANTS,COR,11/02/2016,9.57,
CYBKOQ,MINI Put,7.2419,31/12/2029,1.0,American,CITIWARRANTS,COR,11/02/2016,9.57,
CYBKOR,MINI Put,7.6485,31/12/2029,1.0,American,CITIWARRANTS,COR,11/02/2016,9.57,
CYBKOS,MINI Put,6.5527,31/12/2029,1.0,American,CITIWARRANTS,COR,11/02/2016,9.57,
DJRBOR,Bonus Certificate,0.00,18/01/2019,1.0,American,CITIWARRANTS,COR,11/08/2017,10,
DJWJOM,Instalment MINI,2.1834,20/01/2021,1.0,American,CITIWARRANTS,COR,03/06/2016,10,
DJXKOB,Index MINI Call,22477,31/12/2029,0.01,American,CITIWARRANTS,COR,08/01/2016,10,
DJXKOC,Index MINI Call,21518,31/12/2029,0.01,American,CITIWARRANTS,COR,03/03/2017,10,
DJXKOD,Index MINI Call,21235,31/12/2029,0.01,American,CITIWARRANTS,COR,24/03/2016,10,
DJXKOE,Index MINI Call,20078,31/12/2029,0.01,American,CITIWARRANTS,COR,03/03/2017,10,
DJXKOF,Index MINI Call,20302,31/12/2029,0.01,American,CITIWARRANTS,COR,24/03/2016,10,
DJXKOG,Index MINI Call,19573,31/12/2029,0.01,American,CITIWARRANTS,COR,16/10/2015,10,
DJXKOH,Index MINI Call,19159,31/12/2029,0.01,American,CITIWARRANTS,COR,24/03/2016,10,
DJXKOI,Index MINI Call,18843,31/12/2029,0.01,American,CITIWARRANTS,COR,24/03/2016,10,
DJXKOP,Index MINI Put,25663,31/12/2029,0.01,American,CITIWARRANTS,COR,28/09/2017,10,
DJXKOQ,Index MINI Put,24317,31/12/2029,0.01,American,CITIWARRANTS,COR,13/06/2017,10,
DJXKOS,Index MINI Put,25400,31/12/2029,0.01,American,CITIWARRANTS,COR,28/09/2017,10,
DJXKOT,Index MINI Put,25109,31/12/2029,0.01,American,CITIWARRANTS,COR,03/03/2017,10,
DJXKOU,Index MINI Put,26176,31/12/2029,0.01,American,CITIWARRANTS,COR,28/09/2017,10,
DJXKOZ,Index MINI Put,26432,31/12/2029,0.01,American,CITIWARRANTS,COR,28/09/2017,10,
DJXMOQ,Index MINI Put,26689,31/12/2029,0.01,American,CITIWARRANTS,COR,28/09/2017,10,
DLXKOB,MINI Call,6.2949,31/12/2029,1.0,American,CITIWARRANTS,COR,28/08/2015,1.47,
DLXKOC,MINI Call,4.9502,31/12/2029,1.0,American,CITIWARRANTS,COR,12/06/2015,1.47,
DLXKOQ,MINI Put,9.2128,31/12/2029,1.0,American,CITIWARRANTS,COR,21/04/2017,1.34,
DLXKOS,MINI Put,9.6749,31/12/2029,1.0,American,CITIWARRANTS,COR,21/04/2017,1.34,
DMPBOI,Bonus Certificate,0.00,25/05/2018,1.0,American,CITIWARRANTS,COR,02/02/2017,10,
DMPBOR,Bonus Certificate,0.00,13/12/2018,1.0,American,CITIWARRANTS,COR,11/08/2017,10,
DMPJOM,Instalment MINI,33.5351,20/01/2021,1.0,American,CITIWARRANTS,COR,25/01/2016,10,
DMPJOZ,Instalment MINI,28.2012,18/11/2021,1.0,American,CITIWARRANTS,COR,25/11/2016,10,
DMPKOA,MINI Call,37.313,31/12/2029,1.0,American,CITIWARRANTS,COR,12/09/2017,0.19,
DMPKOC,MINI Call,32.7681,31/12/2029,1.0,American,CITIWARRANTS,COR,12/09/2017,0.19,
DMPKOF,MINI Call,29.692,31/12/2029,1.0,American,CITIWARRANTS,COR,12/09/2017,0.19,
DMPKOR,MINI Put,65.0873,31/12/2029,1.0,American,CITIWARRANTS,COR,21/04/2017,0.19,
DMPKOS,MINI Put,74.7828,31/12/2029,1.0,American,CITIWARRANTS,COR,21/04/2017,0.19,
DMPKOU,MINI Put,83.1428,31/12/2029,1.0,American,CITIWARRANTS,COR,05/08/2016,0.19,
DOWKOB,MINI Call,5.5062,31/12/2029,1.0,American,CITIWARRANTS,COR,10/12/2015,2.16,
DOWKOC,MINI Call,5.7138,31/12/2029,1.0,American,CITIWARRANTS,COR,29/06/2017,1.69,
DOWKOD,MINI Call,5.9149,31/12/2029,1.0,American,CITIWARRANTS,COR,12/08/2015,2.16,
DOWKOE,MINI Call,5.3231,31/12/2029,1.0,American,CITIWARRANTS,COR,11/02/2016,2.16,
DOWKOF,MINI Call,4.6712,31/12/2029,1.0,American,CITIWARRANTS,COR,29/06/2017,1.69,
DOWKOP,MINI Put,7.9748,31/12/2029,1.0,American,CITIWARRANTS,COR,25/05/2017,1.69,
DOWKOQ,MINI Put,8.7153,31/12/2029,1.0,American,CITIWARRANTS,COR,01/03/2016,2.16,
DOWKOT,MINI Put,8.4435,31/12/2029,1.0,American,CITIWARRANTS,COR,21/10/2016,2.16,
DOWKOU,MINI Put,8.9472,31/12/2029,1.0,American,CITIWARRANTS,COR,08/12/2016,2.16,
DOWSO1,Barrier SFI,2.1068,06/12/2019,1.0,American,CITIWARRANTS,COR,09/12/2014,10,
DOWSO2,Barrier SFI,1.4469,20/01/2021,1.0,American,CITIWARRANTS,COR,25/01/2016,10,
DXSISK,Instalment Regular Normal,5.0229,08/06/2018,1.0,American,UBS,COR,31/05/2016,10,
DXSKOA,MINI Call,7.2225,31/12/2029,1.0,American,CITIWARRANTS,COR,08/12/2016,4.07,
DXSKOB,MINI Call,8.1517,31/12/2029,1.0,American,CITIWARRANTS,COR,08/12/2016,4.07,
DXSKOC,MINI Call,5.2963,31/12/2029,1.0,American,CITIWARRANTS,COR,08/12/2016,4.07,
DXSKOP,MINI Put,11.5061,31/12/2029,1.0,American,CITIWARRANTS,COR,08/12/2016,4.07,
DXSKOQ,MINI Put,13.8453,31/12/2029,1.0,American,CITIWARRANTS,COR,08/12/2016,4.07,
DXSKOR,MINI Put,12.6274,31/12/2029,1.0,American,CITIWARRANTS,COR,08/12/2016,4.07,
DXSSSE,Self Funding Instalments,5.3463,08/06/2018,1.0,American,UBS,COR,31/05/2016,10,
EHEKOD,MINI Call,1.7418,31/12/2029,1.0,American,CITIWARRANTS,COR,05/09/2016,0.69,
EHEKOE,MINI Call,2.2151,31/12/2029,1.0,American,CITIWARRANTS,COR,05/09/2016,0.69,
EHEKOP,MINI Put,4.0478,31/12/2029,1.0,American,CITIWARRANTS,COR,18/05/2015,0.69,
EHEKOQ,MINI Put,5.8158,31/12/2029,1.0,American,CITIWARRANTS,COR,18/05/2015,0.69,
ETPMAG,Exchange Traded Commodity,0.00,31/12/2029,1.0,American,ETFS METALS,LMS,30/01/2009,2.738689,Please note the following features do not apply to this product:  Expiry Exercise level 
ETPMPD,Exchange Traded Commodity,0.00,31/12/2029,1.0,American,ETFS METALS,LMS,30/01/2009,0.010137,Please note the following features do not apply to this product:  Expiry Exercise level  
ETPMPM,Exchange Traded Commodity,0.00,31/12/2029,1.0,American,ETFS METALS,LMS,30/01/2009,0.040011,Please note the following features do not apply to this product:  Expiry Exercise level 
ETPMPT,Exchange Traded Commodity,0.00,31/12/2029,1.0,American,ETFS METALS,LMS,30/01/2009,0.026166,Please note the following features do not apply to this product:  Expiry Exercise level 
EVNJOM,Instalment MINI,1.3998,20/01/2021,1.0,American,CITIWARRANTS,COR,03/06/2016,10,
EVNKOB,MINI Call,1.1287,31/12/2029,1.0,American,CITIWARRANTS,COR,01/03/2016,10,
EVNKOC,MINI Call,1.334,31/12/2029,1.0,American,CITIWARRANTS,COR,07/04/2016,10,
EVNKOR,MINI Put,4.0989,31/12/2029,1.0,American,CITIWARRANTS,COR,30/06/2016,10,
EVNKOS,MINI Put,3.4968,31/12/2029,1.0,American,CITIWARRANTS,COR,30/06/2016,10,
EVNKOT,MINI Put,3.8058,31/12/2029,1.0,American,CITIWARRANTS,COR,30/06/2016,10,
FBUKOA,MINI Call,4.0776,31/12/2029,1.0,American,CITIWARRANTS,COR,21/04/2017,0.78,
FBUKOB,MINI Call,3.0567,31/12/2029,1.0,American,CITIWARRANTS,COR,14/09/2015,0.78,
FBUKOP,MINI Put,7.5884,31/12/2029,1.0,American,CITIWARRANTS,COR,29/01/2014,1.01,
FBUKOQ,MINI Put,8.4252,31/12/2029,1.0,American,CITIWARRANTS,COR,29/01/2014,1.01,
FLTBOI,Bonus Certificate,0.00,25/05/2018,1.0,American,CITIWARRANTS,COR,02/02/2017,10,
FLTBON,Bonus Certificate,0.00,25/10/2018,1.0,American,CITIWARRANTS,COR,27/04/2017,10,
FLTJOP,Instalment MINI,25.9777,30/05/2019,1.0,American,CITIWARRANTS,COR,12/09/2014,10,
FLTJOZ,Instalment MINI,19.2575,18/11/2021,1.0,American,CITIWARRANTS,COR,25/11/2016,10,
FLTKOB,MINI Call,27.1131,31/12/2029,1.0,American,CITIWARRANTS,COR,05/08/2016,0.38,
FLTKOC,MINI Call,37.3379,31/12/2029,1.0,American,CITIWARRANTS,COR,30/06/2016,0.38,
FLTKOD,MINI Call,33.1669,31/12/2029,1.0,American,CITIWARRANTS,COR,05/09/2016,0.38,
FLTKOP,MINI Put,53.6149,31/12/2029,1.0,American,CITIWARRANTS,COR,12/09/2017,0.33,
FLTKOR,MINI Put,56.4167,31/12/2029,1.0,American,CITIWARRANTS,COR,27/10/2017,0.33,
FLTSWW,Self Funding Instalments,20.8178,30/06/2020,1.0,American,WESTPAC,COR,29/04/2016,10,
FMGBOI,Bonus Certificate,0.00,25/05/2018,1.0,American,CITIWARRANTS,COR,02/02/2017,10,
FMGBOJ,Bonus Certificate,0.00,25/05/2018,1.0,American,CITIWARRANTS,COR,02/02/2017,10,
FMGBON,Bonus Certificate,0.00,25/10/2018,1.0,American,CITIWARRANTS,COR,27/04/2017,10,
FMGBOO,Bonus Certificate,0.00,15/12/2017,1.0,American,CITIWARRANTS,COR,15/06/2017,10,
FMGBOQ,Bonus Certificate,0.00,27/09/2018,1.0,American,CITIWARRANTS,COR,11/08/2017,10,
FMGBOR,Bonus Certificate,0.00,13/12/2018,1.0,American,CITIWARRANTS,COR,11/08/2017,10,
FMGBOS,Bonus Certificate,0.00,25/05/2018,1.0,American,CITIWARRANTS,COR,26/09/2017,10,
FMGIOL,Instalment High Geared Rolling,5.50,18/05/2018,1.0,American,CITIWARRANTS,COR,27/05/2010,10,
FMGIOV,Instalment Regular Rolling,1.25,15/12/2017,1.0,American,CITIWARRANTS,COR,18/12/2013,10,
FMGISJ,Instalment Regular Normal,1.3541,08/06/2018,1.0,American,UBS,COR,28/05/2015,10,
FMGISK,Instalment Regular Normal,1.7801,08/06/2018,1.0,American,UBS,COR,31/05/2016,10,
FMGJOC,Instalment MINI,3.6531,18/11/2021,1.0,American,CITIWARRANTS,COR,21/02/2017,10,
FMGJOD,Instalment MINI,3.2153,17/08/2022,1.0,American,CITIWARRANTS,COR,03/10/2017,10,
FMGJOE,Instalment MINI,2.4579,17/08/2022,1.0,American,CITIWARRANTS,COR,03/10/2017,10,
FMGJOF,Instalment MINI,3.8508,17/08/2022,1.0,American,CITIWARRANTS,COR,03/10/2017,10,
FMGJON,Instalment MINI,1.1938,30/05/2019,1.0,American,CITIWARRANTS,COR,03/02/2015,10,
FMGJOZ,Instalment MINI,3.3685,18/11/2021,1.0,American,CITIWARRANTS,COR,25/11/2016,10,
FMGKOA,MINI Call,2.0421,31/12/2029,1.0,American,CITIWARRANTS,COR,29/06/2017,10,
FMGKOB,MINI Call,1.7912,31/12/2029,1.0,American,CITIWARRANTS,COR,27/10/2017,10,
FMGKOC,MINI Call,3.851,31/12/2029,1.0,American,CITIWARRANTS,COR,21/04/2017,10,
FMGKOD,MINI Call,4.2445,01/11/2017,1.0,American,CITIWARRANTS,COR,29/06/2017,10,
FMGKOE,MINI Call,1.6111,31/12/2029,1.0,American,CITIWARRANTS,COR,27/10/2017,10,
FMGKOH,MINI Call,2.9502,31/12/2029,1.0,American,CITIWARRANTS,COR,23/12/2016,10,
FMGKOI,MINI Call,3.7211,31/12/2029,1.0,American,CITIWARRANTS,COR,26/11/2014,10,
FMGKOK,MINI Call,0.3061,31/12/2029,1.0,American,CITIWARRANTS,COR,13/03/2015,10,
FMGKOL,MINI Call,3.4734,31/12/2029,1.0,American,CITIWARRANTS,COR,23/12/2016,10,
FMGKOP,MINI Put,6.7365,31/12/2029,1.0,American,CITIWARRANTS,COR,12/09/2017,10,
FMGKOQ,MINI Put,6.2854,31/12/2029,1.0,American,CITIWARRANTS,COR,12/09/2017,10,
FMGKOR,MINI Put,6.0866,31/12/2029,1.0,American,CITIWARRANTS,COR,12/09/2017,10,
FMGKOS,MINI Put,8.274,31/12/2029,1.0,American,CITIWARRANTS,COR,23/12/2016,10,
FMGKOU,MINI Put,9.2034,31/12/2029,1.0,American,CITIWARRANTS,COR,12/09/2017,10,
FMGMOB,MINI Call,3.288,31/12/2029,1.0,American,CITIWARRANTS,COR,25/05/2017,10,
FMGMOC,MINI Call,2.3019,31/12/2029,1.0,American,CITIWARRANTS,COR,29/06/2017,10,
FMGMOD,MINI Call,2.6976,31/12/2029,1.0,American,CITIWARRANTS,COR,29/06/2017,10,
FMGMOE,MINI Call,4.0433,31/12/2029,1.0,American,CITIWARRANTS,COR,29/06/2017,10,
FMGMOQ,MINI Put,7.6408,31/12/2029,1.0,American,CITIWARRANTS,COR,05/08/2016,10,
FMGMOT,MINI Put,7.9705,31/12/2029,1.0,American,CITIWARRANTS,COR,08/12/2016,10,
FMGMOU,MINI Put,6.958,31/12/2029,1.0,American,CITIWARRANTS,COR,08/12/2016,10,
FMGMOW,MINI Put,7.4513,31/12/2029,1.0,American,CITIWARRANTS,COR,23/12/2016,10,
FMGMOX,MINI Put,7.2778,31/12/2029,1.0,American,CITIWARRANTS,COR,23/12/2016,10,
FMGSO1,Barrier SFI,3.453,18/11/2021,1.0,American,CITIWARRANTS,COR,21/02/2017,10,
FMGSOM,Self Funding Instalments,2.20,18/06/2021,1.0,American,CITIWARRANTS,COR,23/06/2016,10,
FMGSSE,Self Funding Instalments,1.4399,08/06/2018,1.0,American,UBS,COR,31/05/2016,10,
FMGSWR,Self Funding Instalments,0.5012,30/06/2020,1.0,American,WESTPAC,COR,24/04/2015,10,
FX1WUA,Equity Call,0.01,10/03/2022,1.0,European,UBS IA,COR,12/03/2014,30,
FX2WUA,Equity Call,0.01,10/03/2022,1.0,European,UBS IA,COR,12/03/2014,30,
FXEKOA,MINI Call,0.5963,31/12/2029,100.0,American,CITIWARRANTS,COR,03/03/2017,10,
FXEKOC,MINI Call,0.6174,31/12/2029,100.0,American,CITIWARRANTS,COR,03/03/2017,10,
FXEKOD,MINI Call,0.6076,31/12/2029,100.0,American,CITIWARRANTS,COR,03/03/2017,10,
FXEKOG,MINI Call,0.5711,31/12/2029,100.0,American,CITIWARRANTS,COR,19/03/2014,10,
FXEKOP,MINI Put,0.7606,31/12/2029,100.0,American,CITIWARRANTS,COR,28/09/2017,10,
FXEKOQ,MINI Put,0.7127,31/12/2029,100.0,American,CITIWARRANTS,COR,26/07/2011,10,Please note this product may have a 4 decimal place barrier price. Refer to daily disclosure documents released by the warrant issuer.
FXEKOR,MINI Put,0.7466,31/12/2029,100.0,American,CITIWARRANTS,COR,28/09/2017,10,
FXEKOS,MINI Put,0.7209,31/12/2029,100.0,American,CITIWARRANTS,COR,10/02/2012,10,
FXEKOT,MINI Put,0.7391,31/12/2029,100.0,American,CITIWARRANTS,COR,28/09/2017,10,
FXJIOL,Instalment High Geared Rolling,0.90,18/05/2018,1.0,American,CITIWARRANTS,COR,27/05/2010,10,
FXJIOV,Instalment Regular Rolling,0.50,15/12/2017,1.0,American,CITIWARRANTS,COR,18/12/2013,10,
FXJKOA,MINI Call,0.843,31/12/2029,1.0,American,CITIWARRANTS,COR,14/07/2015,9.84,
FXJKOB,MINI Call,0.3429,31/12/2029,1.0,American,CITIWARRANTS,COR,12/09/2017,6.38,
FXJKOD,MINI Call,0.6244,31/12/2029,1.0,American,CITIWARRANTS,COR,03/07/2012,10,
FXJKOF,MINI Call,0.7538,31/12/2029,1.0,American,CITIWARRANTS,COR,28/02/2013,10,
FXJKOQ,MINI Put,1.3249,31/12/2029,1.0,American,CITIWARRANTS,COR,05/08/2016,9.84,
FXJKOR,MINI Put,1.7016,31/12/2029,1.0,American,CITIWARRANTS,COR,08/02/2013,10,Please note this product may have a 4 decimal place barrier price. Refer to daily disclosure documents released by the warrant issuer.
FXJKOS,MINI Put,1.4827,31/12/2029,1.0,American,CITIWARRANTS,COR,28/02/2013,10,
FXJKOT,MINI Put,1.6249,31/12/2029,1.0,American,CITIWARRANTS,COR,29/06/2017,6.38,
FXLKOC,MINI Call,0.8864,31/12/2029,1.0,American,CITIWARRANTS,COR,25/05/2017,0.86,
FXLKOD,MINI Call,1.126,31/12/2029,1.0,American,CITIWARRANTS,COR,29/06/2017,0.86,
FXLKOE,MINI Call,0.7071,31/12/2029,1.0,American,CITIWARRANTS,COR,29/06/2017,0.86,
FXLKOF,MINI Call,1.2678,31/12/2029,1.0,American,CITIWARRANTS,COR,28/08/2015,1,
FXPKOA,MINI Call,0.4953,31/12/2029,100.0,American,CITIWARRANTS,COR,05/08/2015,10,
FXPKOB,MINI Call,0.459,31/12/2029,100.0,American,CITIWARRANTS,COR,26/07/2011,10,Please note this product may have a 4 decimal place barrier price. Refer to daily disclosure documents released by the warrant issuer.
FXPKOC,MINI Call,0.5159,31/12/2029,100.0,American,CITIWARRANTS,COR,05/08/2015,10,
FXPKOD,MINI Call,0.5562,31/12/2029,100.0,American,CITIWARRANTS,COR,10/06/2016,10,
FXPKOE,MINI Call,0.506,31/12/2029,100.0,American,CITIWARRANTS,COR,28/09/2017,10,
FXPKOF,MINI Call,0.5374,31/12/2029,100.0,American,CITIWARRANTS,COR,18/11/2016,10,
FXPKOQ,MINI Put,0.6148,31/12/2029,100.0,American,CITIWARRANTS,COR,10/06/2016,10,
FXPKOS,MINI Put,0.6545,31/12/2029,100.0,American,CITIWARRANTS,COR,18/11/2016,10,
FXPKOT,MINI Put,0.6675,31/12/2029,100.0,American,CITIWARRANTS,COR,18/11/2016,10,
FXPKOU,MINI Put,0.6296,31/12/2029,100.0,American,CITIWARRANTS,COR,18/11/2016,10,
FXPKOV,MINI Put,0.6351,31/12/2029,100.0,American,CITIWARRANTS,COR,18/11/2016,10,
FXUKOA,MINI Call,0.6442,31/12/2029,100.0,American,CITIWARRANTS,COR,13/06/2017,10,
FXUKOB,MINI Call,0.6649,31/12/2029,100.0,American,CITIWARRANTS,COR,13/06/2017,10,
FXUKOE,MINI Call,0.6214,31/12/2029,100.0,American,CITIWARRANTS,COR,24/03/2016,10,
FXUKOF,MINI Call,0.7273,31/12/2029,100.0,American,CITIWARRANTS,COR,18/11/2016,10,
FXUKOG,MINI Call,0.7366,31/12/2029,100.0,American,CITIWARRANTS,COR,18/11/2016,10,
FXUKOH,MINI Call,0.7169,31/12/2029,100.0,American,CITIWARRANTS,COR,18/11/2016,10,
FXUKOI,MINI Call,0.7102,31/12/2029,100.0,American,CITIWARRANTS,COR,14/10/2014,10,
FXUKOJ,MINI Call,0.704,31/12/2029,100.0,American,CITIWARRANTS,COR,05/08/2015,10,
FXUKOK,MINI Call,0.6916,31/12/2029,100.0,American,CITIWARRANTS,COR,05/08/2015,10,
FXUKOL,MINI Call,0.7162,31/12/2029,100.0,American,CITIWARRANTS,COR,27/02/2015,10,
FXUKOM,MINI Call,0.6942,31/12/2029,100.0,American,CITIWARRANTS,COR,05/08/2015,10,
FXUKON,MINI Call,0.6871,31/12/2029,100.0,American,CITIWARRANTS,COR,18/11/2016,10,
FXUKOO,MINI Call,0.6774,31/12/2029,100.0,American,CITIWARRANTS,COR,18/11/2016,10,
FXUKOP,MINI Put,0.8063,31/12/2029,100.0,American,CITIWARRANTS,COR,28/09/2017,10,
FXUKOQ,MINI Put,0.7878,31/12/2029,100.0,American,CITIWARRANTS,COR,28/09/2017,10,
FXUKOR,MINI Put,0.7979,31/12/2029,100.0,American,CITIWARRANTS,COR,28/09/2017,10,
FXUKOS,MINI Put,0.8275,31/12/2029,100.0,American,CITIWARRANTS,COR,11/06/2014,10,
FXUKOT,MINI Put,0.817,31/12/2029,100.0,American,CITIWARRANTS,COR,13/06/2017,10,
FXUKOU,MINI Put,0.8777,31/12/2029,100.0,American,CITIWARRANTS,COR,28/09/2017,10,
FXUKOV,MINI Put,0.8549,31/12/2029,100.0,American,CITIWARRANTS,COR,18/12/2012,10,Please note this product may have a 4 decimal place barrier price. Refer to daily disclosure documents released by the warrant issuer.
FXUKOW,MINI Put,0.8918,31/12/2029,100.0,American,CITIWARRANTS,COR,28/09/2017,10,
FXUKOX,MINI Put,0.8875,31/12/2029,100.0,American,CITIWARRANTS,COR,28/09/2017,10,
